timestamp,queue,temperature,vibration,speed,current,failure
2026-03-30 17:20:49.056037,1,61.99,8.38,56.7,18.78,0
2026-03-30 17:20:59.056037,2,70.3,7.92,49.98,9.43,0
2026-03-30 17:21:09.056037,3,71.5,4.96,46.12,9.29,0
2026-03-30 17:21:19.056037,4,73.45,10.34,50.1,12.3,0
2026-03-30 17:21:29.056037,7,78.05,9.49,46.58,12.17,1
2026-03-30 17:21:39.056037,8,67.68,6.05,39.2,15.08,0
2026-03-30 17:21:49.056037,11,68.36,7.4,36.03,19.82,1
2026-03-30 17:21:59.056037,12,66.3,8.51,46.92,14.68,1
2026-03-30 17:22:09.056037,14,64.95,7.14,43.42,15.92,0
2026-03-30 17:22:19.056037,15,72.22,7.12,55.77,12.64,0
2026-03-30 17:22:29.056037,15,62.24,4.35,58.38,12.79,0
2026-03-30 17:22:39.056037,18,64.46,8.86,47.05,13.4,1
2026-03-30 17:22:49.056037,20,74.66,11.28,46.63,15.92,1
2026-03-30 17:22:59.056037,18,67.85,7.99,41.35,18.97,1
2026-03-30 17:23:09.056037,20,74.16,6.92,45.62,13.61,1
2026-03-30 17:23:19.056037,18,59.91,10.86,48.19,15.58,1
2026-03-30 17:23:29.056037,17,66.72,11.29,58.21,13.47,0
2026-03-30 17:23:39.056037,16,69.4,6.79,46.86,17.79,1
2026-03-30 17:23:49.056037,15,77.99,6.59,46.35,13.47,1
2026-03-30 17:23:59.056037,13,70.38,6.51,56.25,20.53,0
2026-03-30 17:24:09.056037,13,72.28,6.09,43.9,15.4,0
2026-03-30 17:24:19.056037,12,67.9,7.37,54.25,15.37,0
2026-03-30 17:24:29.056037,11,63.33,6.8,58.74,12.25,0
2026-03-30 17:24:39.056037,13,70.4,5.0,56.64,13.06,0
2026-03-30 17:24:49.056037,13,62.37,11.36,51.16,17.28,1
2026-03-30 17:24:59.056037,12,75.62,6.6,49.02,16.5,1
2026-03-30 17:25:09.056037,13,75.32,7.61,52.34,14.83,0
2026-03-30 17:25:19.056037,17,71.84,8.99,59.66,14.12,0
2026-03-30 17:25:29.056037,19,68.57,10.09,56.77,15.93,0
2026-03-30 17:25:39.056037,22,74.64,9.16,47.63,17.82,1
2026-03-30 17:25:49.056037,21,75.54,7.32,41.7,15.39,1
2026-03-30 17:25:59.056037,24,66.71,10.98,46.24,17.14,1
2026-03-30 17:26:09.056037,22,61.46,10.4,47.18,13.07,1
2026-03-30 17:26:19.056037,20,69.14,9.57,41.26,15.64,1
2026-03-30 17:26:29.056037,24,67.31,8.36,47.16,13.16,0
2026-03-30 17:26:39.056037,22,66.97,7.48,48.54,13.76,0
2026-03-30 17:26:49.056037,21,67.15,8.3,50.52,12.97,0
2026-03-30 17:26:59.056037,22,71.69,8.56,45.65,10.84,1
2026-03-30 17:27:09.056037,24,71.85,8.16,56.67,20.04,0
